bar,beer,price
Perrin Brewing Company,Coal Creek Porter,7.92
Perrin Brewing Company,Wild Banshee Barleywine,4.53
Perrin Brewing Company,Detonator Doppelbock,5.16
Perrin Brewing Company,Scotch brand Ale,7.59
Perrin Brewing Company,10 Squared (10Â²),6.04
Perrin Brewing Company,Scarlet Fire IPA,7.67
Perrin Brewing Company,Amber Ale,8.72
Perrin Brewing Company,Imperial Pale,4.91
Perrin Brewing Company,Porter,7.68
Witch's Hat Brewing Company,Nebraska Bitter,6.26
Witch's Hat Brewing Company,Blacktop Porter,6
Witch's Hat Brewing Company,India Pale Ale,4.59
Witch's Hat Brewing Company,Pyramid Hefe Weizen,8.63
Witch's Hat Brewing Company,Hefeweizen,5.42
Witch's Hat Brewing Company,Troll Porter,4.55
Witch's Hat Brewing Company,Hefeweizen,6.03
Witch's Hat Brewing Company,Perseus Porter,4.61
Witch's Hat Brewing Company,Firehouse Red,5.17
Witch's Hat Brewing Company,BiFrÃ¶st Winter Ale,6.14
Founders Brewing Company,BiFrÃ¶st Winter Ale,8.06
Founders Brewing Company,Peacemaker Porter,7.58
Founders Brewing Company,IPA,4.99
Founders Brewing Company,IPA,4.89
Founders Brewing Company,Skibbereen Stout,6.75
Founders Brewing Company,Fauntleroy Stout,9.44
Founders Brewing Company,Golden,6.61
Founders Brewing Company,India Pale Ale,6.75
Founders Brewing Company,The Immortal IPA,7.23
Founders Brewing Company,Whoville Weizenbock,7.8
Flat 12 Bierwerks,Pseudo Lambic Framboise,6.52
Flat 12 Bierwerks,Firehouse Red,6.69
Flat 12 Bierwerks,Pinnacle Peak Pale Ale,6.55
Flat 12 Bierwerks,Organic India Pale Ale,8.52
Flat 12 Bierwerks,Saison,5.82
Flat 12 Bierwerks,Atlas Amber Ale,6.81
Flat 12 Bierwerks,Scarlet Fire IPA,7.6
Flat 12 Bierwerks,BiFrÃ¶st Winter Ale,5.15
Flat 12 Bierwerks,Steamer Glide Stout,5.02
Flat 12 Bierwerks,Nut Brown,7.31
Tin Man Brewing Company,Danger Ale,5.52
Tin Man Brewing Company,Peacemaker Porter,6.01
Tin Man Brewing Company,ESB,5.73
Tin Man Brewing Company,Mt. Takhoma Blonde Ale,6.68
Tin Man Brewing Company,Brown Ale,6.45
Tin Man Brewing Company,Roza Reserve,5.17
Tin Man Brewing Company,Warminster Special Bitter,8.89
Tin Man Brewing Company,Ambrosia Maibock,5.43
Tin Man Brewing Company,Snow Melt Nitrogen Pale,5.93
Tin Man Brewing Company,Apricot Weizen Ale,6.31
Black Acre Brewing Co.,Amber Ale,8.44
Black Acre Brewing Co.,Wee Heavy Winter Ale,8.6
Black Acre Brewing Co.,Bock,6.43
Black Acre Brewing Co.,Weissbier,8.01
Black Acre Brewing Co.,Old Seattle Lager,8.11
Black Acre Brewing Co.,Steelie Brown Ale,5.35
Black Acre Brewing Co.,Alembic Pale,7.17
Black Acre Brewing Co.,Old Seattle Lager,4.94
Black Acre Brewing Co.,Fauntleroy Stout,6.03
Black Acre Brewing Co.,Baron Schwarzbier,5.61
Brew Link Brewing,IPA,7.67
Brew Link Brewing,Yo Ho Ho Christmas Ale 2001,6.24
Brew Link Brewing,Monkfish Tripel,8.67
Brew Link Brewing,Golden Ale,5.94
Brew Link Brewing,Amber Weizen,6.64
Brew Link Brewing,Skibbereen Stout,6.85
Brew Link Brewing,Wild Banshee Barleywine,6.8
Brew Link Brewing,Bourbon Barrel Stout,5.45
Brew Link Brewing,Fauntleroy Stout,4.65
Brew Link Brewing,Light,8.78
Bare Hands Brewery,Farm Frog,6.71
Bare Hands Brewery,Slam Dunkelweizen,6.98
Bare Hands Brewery,Pseudo Lambic Framboise,5.52
Bare Hands Brewery,Flagship Red Alt Ale,4.86
Bare Hands Brewery,Skagit Brown Ale,7.53
Bare Hands Brewery,Extra Special Bitter,7.27
Bare Hands Brewery,Tilted Kilt Ale,6.17
Bare Hands Brewery,Black Mulligan Dublin Stout,8.46
Bare Hands Brewery,WinterFish Ale,8.39
Bare Hands Brewery,First Flight Amber Ale,8.35
Three Pints Brewing,Barleywine,4.73
Three Pints Brewing,Tilted Kilt Ale,5.63
Three Pints Brewing,Trumpeter,6.69
Three Pints Brewing,The Immortal IPA,5.56
Three Pints Brewing,DPA,7.49
Three Pints Brewing,Whistling Pig Hefeweizen,8.77
Three Pints Brewing,Luna Weizen,7.54
Three Pints Brewing,Loki,7.51
Three Pints Brewing,Troll Porter,5.78
Three Pints Brewing,Wheat Hook,6.1
Four Fathers Brewing ,Imperial Stout,5.8
Four Fathers Brewing ,Hammerhead Ale,7.2
Four Fathers Brewing ,Imperial Pale,6.86
Four Fathers Brewing ,Irish Stout,5.85
Four Fathers Brewing ,Atlas Amber Ale,4.72
Four Fathers Brewing ,Moss Bay Extra,7.75
Four Fathers Brewing ,Nightwatch Dark Ale,9.37
Four Fathers Brewing ,Vashon Old Stock Ale,5
Four Fathers Brewing ,Auld Acquaintance Spiced Ale,6.23
Four Fathers Brewing ,Belgian White,9.3
Indiana City Brewing,Prime Time Pale Ale,8.16
Indiana City Brewing,Elysian Fields Pale Ale,5.42
Indiana City Brewing,Dutch Girl Lager,5.66
Indiana City Brewing,Icebreaker Barley Wine,9.39
Indiana City Brewing,Porter,5.45
Indiana City Brewing,Baron Pilsner,9.21
Indiana City Brewing,Vashon Old Stock Ale,8.14
Indiana City Brewing,India Pale Ale,5.86
Indiana City Brewing,Doppel Bock,6.18
Indiana City Brewing,Rat City IPA,4.7
Burn 'Em Brewing,Apricot Weizen Ale,4.68
Burn 'Em Brewing,Pyramid Amber Weizen,5.51
Burn 'Em Brewing,Trombipulator,7.21
Burn 'Em Brewing,Pyramid Hefe Weizen,6.72
Burn 'Em Brewing,Wild Salmon Pale Ale,8.23
Burn 'Em Brewing,Porter,8.71
Burn 'Em Brewing,Monkfish Tripel,8.25
Burn 'Em Brewing,Oak Stout,6.35
Burn 'Em Brewing,N.W. Pale Ale,8.81
Burn 'Em Brewing,Catalina Common Lager,5.94
Sun King Brewing Company,Wee Heavy Winter Ale,8.84
Sun King Brewing Company,Weissbier,8.3
Sun King Brewing Company,Terminator Stout,5.36
Sun King Brewing Company,Warminster Special Bitter,7.55
Sun King Brewing Company,Sun Fest,4.94
Sun King Brewing Company,WinterFish Ale,4.63
Sun King Brewing Company,Whoville Weizenbock,8.57
Sun King Brewing Company,Wild Banshee Barleywine,6.26
Sun King Brewing Company,Del Rio Lager,6.33
Sun King Brewing Company,Vashon Old Stock Ale,9.33
Evil Czech Brewery,Weisse,7.9
Evil Czech Brewery,Hefe-Weizen,7.13
Evil Czech Brewery,El Jefe Weizen Ale,8.06
Evil Czech Brewery,Farm Frog,4.79
Evil Czech Brewery,Nut Brown Ale,9.43
Evil Czech Brewery,Monkfish Tripel,5.7
Evil Czech Brewery,Black Mulligan Dublin Stout,4.52
Evil Czech Brewery,Pale Ale,5.7
Evil Czech Brewery,Ambrosia Maibock,7.19
Evil Czech Brewery,Thornton Creel Ale,6.44
450 North Brewing Company,Trombipulator,5.57
450 North Brewing Company,Two Frog Dubbel,7.11
450 North Brewing Company,Firkin IPA,7.22
450 North Brewing Company,Wee Heavy Winter Ale,6.8
450 North Brewing Company,Redhook Long Hammer IPA,7.79
450 North Brewing Company,Irish Stout,6.64
450 North Brewing Company,Hefe Weizen,5.72
450 North Brewing Company,Faux Paddy Irish Ale,8.83
450 North Brewing Company,Wheat Hook,5.4
450 North Brewing Company,Dutch Girl Lager,9.02
Taxman Brewing Company,E.S.B.,9.47
Taxman Brewing Company,Brown Ale,7.82
Taxman Brewing Company,Old Woody 2005,8.8
Taxman Brewing Company,Ambrosia Maibock,8.44
Taxman Brewing Company,Imperial I.P.A.,7.11
Taxman Brewing Company,Apricot Weizen Ale,8.12
Taxman Brewing Company,Thornton Creel Ale,7.56
Taxman Brewing Company,Rye,6.38
Taxman Brewing Company,I.M. Pale,7.17
Taxman Brewing Company,Auld Acquaintance Spiced Ale,7.3
Cedar Creek Brewery,Navidad,6.11
Cedar Creek Brewery,Krystal Weizen,8.96
Cedar Creek Brewery,The Immortal IPA,4.81
Cedar Creek Brewery,Imperial I.P.A.,6.27
Cedar Creek Brewery,AK-47 Malt Liquor,6.73
Cedar Creek Brewery,Snow Melt Nitrogen Pale,7.45
Cedar Creek Brewery,Imperial I.P.A.,5.01
Cedar Creek Brewery,IPA,5.4
Cedar Creek Brewery,Red Card Lager,5.97
Cedar Creek Brewery,Old Seattle Lager,9.2
SanTan Brewing Company,Wee Heavy Winter Ale,6.29
SanTan Brewing Company,Pale Ale,7.25
SanTan Brewing Company,Mongoose IPA,7.61
SanTan Brewing Company,Fauntleroy Stout,7.74
SanTan Brewing Company,Bourbon Barrel Stout,8.44
SanTan Brewing Company,Loki,6.9
SanTan Brewing Company,Pale Ale,6.86
SanTan Brewing Company,Skibbereen Stout,6.65
SanTan Brewing Company,Pale Ale,7.21
SanTan Brewing Company,Winterhook Robust Winter Ale 2000,5.16
Boulevard Brewing Company,Firkin IPA,6.07
Boulevard Brewing Company,Industrial IPA,5.06
Boulevard Brewing Company,IPA,6.43
Boulevard Brewing Company,Loki,8.5
Boulevard Brewing Company,The Immortal IPA,8.86
Boulevard Brewing Company,Old Rip Oatmeal Stout,5.67
Boulevard Brewing Company,Baron Helles Bock,7.14
Boulevard Brewing Company,IPA,7.66
Boulevard Brewing Company,Kilt Lifter Scotch Ale,7.86
Boulevard Brewing Company,Prime Time Pale Ale,9.25
James Page Brewing Company,Dry Hopped IPA,7.63
James Page Brewing Company,Steamer Glide Stout,8.89
James Page Brewing Company,Krystal Weizen,8.08
James Page Brewing Company,Whoville Weizenbock,7.21
James Page Brewing Company,I.M. Pale,5.62
James Page Brewing Company,First Flight Amber Ale,5.17
James Page Brewing Company,Steelie Brown Ale,6.27
James Page Brewing Company,Snow Melt Nitrogen Pale,7.44
James Page Brewing Company,The Wise ESB,9.28
James Page Brewing Company,IPA,5.8
The Dudes' Brewing Company,ESB,9.25
The Dudes' Brewing Company,Afterburner IPA,8.79
The Dudes' Brewing Company,Nightwatch Dark Ale,7.86
The Dudes' Brewing Company,XXXXX Stout,6.65
The Dudes' Brewing Company,Imperial Stout,7.86
The Dudes' Brewing Company,Winterhook Robust Winter Ale 1993,9.47
The Dudes' Brewing Company,Apricot Weizen Ale,7.31
The Dudes' Brewing Company,Wee Heavy Winter Ale,5.67
The Dudes' Brewing Company,India Pale Ale,8.68
The Dudes' Brewing Company,IPA,4.81
Ballast Point Brewing Company,Steelie Brown Ale,8.89
Ballast Point Brewing Company,Whoville Weizenbock,7.55
Ballast Point Brewing Company,Sick Duck Imperial Stout,5.25
Ballast Point Brewing Company,Yellowjacket Pale Ale,6.4
Ballast Point Brewing Company,Organic India Pale Ale,5.59
Ballast Point Brewing Company,Industrial IPA,6.16
Ballast Point Brewing Company,Sick Duck Imperial Stout,4.9
Ballast Point Brewing Company,Three Threads Porter,7.29
Ballast Point Brewing Company,Firkin IPA,8.19
Ballast Point Brewing Company,Hefe-Weizen,7.24
Anchor Brewing Company,Imperial I.P.A.,5.67
Anchor Brewing Company,Admiral ESB,4.93
Anchor Brewing Company,Hoptoberfest,8.2
Anchor Brewing Company,Pyramid Broken Rake,8.21
Anchor Brewing Company,Detonator Doppelbock,6.03
Anchor Brewing Company,Detonator Doppelbock,6.88
Anchor Brewing Company,Blind Pig Dunkelweizen,8.32
Anchor Brewing Company,Skagit Brown Ale,6.96
Anchor Brewing Company,Terminator Stout,4.57
Anchor Brewing Company,Belgian White,5.86
Figueroa Mountain Brewing Company,Driftwood Ale,6.6
Figueroa Mountain Brewing Company,Rat City IPA,8.23
Figueroa Mountain Brewing Company,India Pale Ale,6.58
Figueroa Mountain Brewing Company,Coal Creek Porter,7.05
Figueroa Mountain Brewing Company,Fauntleroy Stout,5.21
Figueroa Mountain Brewing Company,Alembic Pale,7.56
Figueroa Mountain Brewing Company,Industrial IPA,5.67
Figueroa Mountain Brewing Company,Islander Pale Ale,6.79
Figueroa Mountain Brewing Company,Ambrosia Maibock,7.81
Figueroa Mountain Brewing Company,Baron Oktoberfest,7.49
Avery Brewing Company,No Doubt Stout,6.72
Avery Brewing Company,Point Defiance IPA,5.87
Avery Brewing Company,Jolly Roger,7.24
Avery Brewing Company,Slam Dunkelweizen,8.8
Avery Brewing Company,India Pale Ale,6.88
Avery Brewing Company,Brown Ale,7.63
Avery Brewing Company,Hoptoberfest,8.81
Avery Brewing Company,Lava Rock Porter,6.05
Avery Brewing Company,Jolly Roger,5.96
Avery Brewing Company,Oak Stout,5.68
Twisted X Brewing Company,Maibock,5.69
Twisted X Brewing Company,The Wise ESB,4.64
Twisted X Brewing Company,Luna Weizen,5.98
Twisted X Brewing Company,Rye,6.67
Twisted X Brewing Company,Hart Espresso Stout,6.88
Twisted X Brewing Company,Pyramid Hefe Weizen,6.6
Twisted X Brewing Company,Pseudo Lambic Framboise,6.23
Twisted X Brewing Company,Free Bike Amber,8.62
Twisted X Brewing Company,Industrial IPA,5.34
Twisted X Brewing Company,Porter,8.04
Gonzo's BiggDogg Brewing,Sun Fest,7.42
Gonzo's BiggDogg Brewing,Troll Porter,5.85
Gonzo's BiggDogg Brewing,Ambrosia Maibock,4.75
Gonzo's BiggDogg Brewing,Spiced Ale,4.95
Gonzo's BiggDogg Brewing,Amber Ale,7.47
Gonzo's BiggDogg Brewing,Skibbereen Stout,8.02
Gonzo's BiggDogg Brewing,Pyramid Apricot Weizen,9.32
Gonzo's BiggDogg Brewing,India Pale Ale,7.71
Gonzo's BiggDogg Brewing,Puget Brown Porter,8.66
Gonzo's BiggDogg Brewing,10 Squared (10Â²),6.5
Big Muddy Brewing,Poseidon Imperial Stout,8.92
Big Muddy Brewing,Wheat Beer,7.57
Big Muddy Brewing,Pilsner,9.14
Big Muddy Brewing,Bottleworks IPA,8.11
Big Muddy Brewing,Trumpeter,7.07
Big Muddy Brewing,Organic India Pale Ale,9.12
Big Muddy Brewing,Steelie Brown Ale,9.18
Big Muddy Brewing,Trombipulator,8.24
Big Muddy Brewing,Organic India Pale Ale,9.35
Big Muddy Brewing,Sequoia Red,9.31
Lost Nation Brewing,Vashon Old Stock Ale,7.49
Lost Nation Brewing,Baron Oktoberfest,9.16
Lost Nation Brewing,Blonde Ale,5.54
Lost Nation Brewing,Lava Rock Porter,8.38
Lost Nation Brewing,Golden,8.19
Lost Nation Brewing,Bhagwan's Best IPA,7.34
Lost Nation Brewing,Catalina Common Lager,6.59
Lost Nation Brewing,Alembic Pale,8.51
Lost Nation Brewing,Golden,6.01
Lost Nation Brewing,Alki Ale,6.57
Rising Tide Brewing Company,Steamer Glide Stout,7.69
Rising Tide Brewing Company,Nut Brown,6.45
Rising Tide Brewing Company,Flagship Red Alt Ale,5.38
Rising Tide Brewing Company,Elysian Fields Pale Ale,6.97
Rising Tide Brewing Company,India Pale Ale,9.38
Rising Tide Brewing Company,Del Rio Lager,6.71
Rising Tide Brewing Company,Zephyrus Pilsner,8.35
Rising Tide Brewing Company,Firehouse Red,5.12
Rising Tide Brewing Company,Old Rip Oatmeal Stout,8.67
Rising Tide Brewing Company,Pale Ale,4.91
Rivertowne Brewing Company,Cream Stout,7.28
Rivertowne Brewing Company,Porter,6.96
Rivertowne Brewing Company,Barley Wine Ale,8.31
Rivertowne Brewing Company,Two Frog Dubbel,7.92
Rivertowne Brewing Company,Roza Reserve,6.72
Rivertowne Brewing Company,Cream Stout,6.76
Rivertowne Brewing Company,BÃªte Blanche,6.69
Rivertowne Brewing Company,Perseus Porter,8.14
Rivertowne Brewing Company,Atlas Amber Ale,8.06
Rivertowne Brewing Company,Steelie Brown Ale,6.54
Revolution Brewing Company,Admiral ESB,6.43
Revolution Brewing Company,Baron Pilsner,7.1
Revolution Brewing Company,Nut Brown Ale,9.27
Revolution Brewing Company,Hefe-Weizen,5.08
Revolution Brewing Company,Heat Seeker Hefe,8.54
Revolution Brewing Company,Bottleworks IPA,8.35
Revolution Brewing Company,Tilted Kilt Ale,5.52
Revolution Brewing Company,India Pale Ale,9.02
Revolution Brewing Company,Nut Brown Ale,8.5
Revolution Brewing Company,Double Black Stout,5.17
Tallgrass Brewing Company,Castaway Barley Wine Winter Ale,7.65
Tallgrass Brewing Company,Highwater Porter,6.26
Tallgrass Brewing Company,Pseudo Lambic Framboise,8.96
Tallgrass Brewing Company,Pale Ale,5.38
Tallgrass Brewing Company,Kilt Lifter Scotch Ale,7.5
Tallgrass Brewing Company,I.M. Pale,7.14
Tallgrass Brewing Company,Perseus Porter,5.13
Tallgrass Brewing Company,Black Hook Porter,8.74
Tallgrass Brewing Company,Scotch brand Ale,6.98
Tallgrass Brewing Company,Mongoose IPA,8.16
Sixpoint Craft Ales,Wee Heavy Winter Ale,5.05
Sixpoint Craft Ales,Kirkland Ale,9.31
Sixpoint Craft Ales,Clipper Gold Hefeweizen,5.1
Sixpoint Craft Ales,Peacemaker Porter,7.82
Sixpoint Craft Ales,Del Rio Lager,8.44
Sixpoint Craft Ales,Wild Salmon Pale Ale,7.96
Sixpoint Craft Ales,Sun Fest,7.96
Sixpoint Craft Ales,Wheat Hook,5.59
Sixpoint Craft Ales,BÃªte Blanche,5.57
Sixpoint Craft Ales,Nightwatch Dark Ale,9.24
White Birch Brewing,Lighthouse Ale,6.78
White Birch Brewing,Irish Stout,6.14
White Birch Brewing,Baron Schwarzbier,8.26
White Birch Brewing,Porter,6.29
White Birch Brewing,Puget Brown Porter,7.11
White Birch Brewing,Red Card Lager,8.3
White Birch Brewing,Porter,5.5
White Birch Brewing,Golden,5.29
White Birch Brewing,No Doubt Stout,6.27
White Birch Brewing,Bottleworks IPA,7.67
Firestone Walker Brewing Company,Old Seattle Lager,8.55
Firestone Walker Brewing Company,Puget Brown Porter,5.91
Firestone Walker Brewing Company,Spiced Ale,6.65
Firestone Walker Brewing Company,Frosty Frog,4.61
Firestone Walker Brewing Company,Hart Espresso Stout,7.28
Firestone Walker Brewing Company,Sun Fest,6.81
Firestone Walker Brewing Company,Nut Brown Ale,5.71
Firestone Walker Brewing Company,The Wise ESB,8.58
Firestone Walker Brewing Company,Skibbereen Stout,6.04
Firestone Walker Brewing Company,Yo Ho Ho Christmas Ale 2001,7.23
SweetWater Brewing Company,India Pale Ale,5.17
SweetWater Brewing Company,Detonator Doppelbock,7.9
SweetWater Brewing Company,El Jefe Weizen Ale,8.63
SweetWater Brewing Company,Saison,8.81
SweetWater Brewing Company,Point Defiance IPA,5.12
SweetWater Brewing Company,E.S.B.,7.17
SweetWater Brewing Company,Baron Oktoberfest,8.08
SweetWater Brewing Company,Flagship Red Alt Ale,9.24
SweetWater Brewing Company,Pale Ale,4.83
SweetWater Brewing Company,Possession Porter,6.22
Flying Mouse Brewery,IPA,7.67
Flying Mouse Brewery,Highwater Porter,5.93
Flying Mouse Brewery,Hefe-Weizen,7.78
Flying Mouse Brewery,Red Card Lager,5.91
Flying Mouse Brewery,Leviathan 2004,7.3
Flying Mouse Brewery,Driftwood Ale,5.9
Flying Mouse Brewery,Moss Bay Extra,6.93
Flying Mouse Brewery,Tilted Kilt Ale,7.38
Flying Mouse Brewery,Baron Helles Bock,6.45
Flying Mouse Brewery,Old Bawdy 2006,5.88
Upslope Brewing Company,Organic Amber Ale,5.02
Upslope Brewing Company,India Pale Ale,7.7
Upslope Brewing Company,Bhagwan's Best IPA,6.64
Upslope Brewing Company,Perseus Porter,8.69
Upslope Brewing Company,Gale Force IPA,8.63
Upslope Brewing Company,Catalina Common Lager,4.9
Upslope Brewing Company,Hoptoberfest,4.63
Upslope Brewing Company,Weisse,8.56
Upslope Brewing Company,Barley Wine Ale,8.18
Upslope Brewing Company,Bottleworks IPA,7.29
Pipeworks Brewing Company,Porter,5.69
Pipeworks Brewing Company,Hefe Weizen,6.84
Pipeworks Brewing Company,Heat Seeker Hefe,4.54
Pipeworks Brewing Company,Blind Pig Dunkelweizen,7.48
Pipeworks Brewing Company,Bhagwan's Best IPA,5.94
Pipeworks Brewing Company,Detonator Doppelbock,7.44
Pipeworks Brewing Company,Hammerhead Ale,8.52
Pipeworks Brewing Company,Whistling Pig Hefeweizen,6.24
Pipeworks Brewing Company,Extra Special Bitter,6.6
Pipeworks Brewing Company,BiFrÃ¶st Winter Ale,5.61
Bent Brewstillery,Red Card Lager,4.64
Bent Brewstillery,Mongoose IPA,6.83
Bent Brewstillery,Whoville Weizenbock,7.85
Bent Brewstillery,Blind Pig Dunkelweizen,4.73
Bent Brewstillery,Baron Schwarzbier,5.63
Bent Brewstillery,Roza Reserve,8.34
Bent Brewstillery,India Pale Ale,9.23
Bent Brewstillery,Bourbon Barrel Stout,7.94
Bent Brewstillery,First Flight Amber Ale,6.51
Bent Brewstillery,Luna Weizen,4.97
Flesk Brewing Company,The Immortal IPA,9.06
Flesk Brewing Company,India Pale Ale,7.07
Flesk Brewing Company,Organic India Pale Ale,9.15
Flesk Brewing Company,Loki,7.88
Flesk Brewing Company,Weisse,6.71
Flesk Brewing Company,IPA,5.39
Flesk Brewing Company,Black Mulligan Dublin Stout,6.57
Flesk Brewing Company,Old Bawdy 2006,5.64
Flesk Brewing Company,Scotch brand Ale,6.55
Flesk Brewing Company,Redhook Long Hammer IPA,4.84
Pollyanna Brewing Company,Winterhook Robust Winter Ale 2000,8.54
